                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49255,                 1.3116,                 1.0714,                0.94652,                0.96846,                0.98106,                0.95966,                0.34202,                0.49787,                0.70934,             0.00027645,             0.00027645,             0.00027645
                      2,                0.48209,                0.67486,                 1.0351,                0.96733,                0.97361,                0.98125,                0.94362,                0.42304,                0.47161,                0.77836,             0.00054314,             0.00054314,             0.00054314
                      3,                0.47542,                0.62217,                 1.0346,                  0.983,                 0.9762,                0.98375,                0.94874,                0.47205,                0.49266,                0.82654,             0.00079884,             0.00079884,             0.00079884
                      4,                0.46731,                0.59005,                 1.0241,                 0.9819,                0.98397,                0.98795,                0.95834,                0.39329,                0.44613,                0.74777,             0.00078352,             0.00078352,             0.00078352
                      5,                0.43037,                0.53898,                 1.0008,                 0.9784,                0.97716,                0.98348,                0.96482,                 0.3794,                0.36761,                0.74991,             0.00078352,             0.00078352,             0.00078352
                      6,                0.41451,                0.49323,                0.99595,                0.97209,                0.97523,                0.98859,                0.96884,                0.33095,                0.34318,                0.69099,             0.00076703,             0.00076703,             0.00076703
                      7,                0.39373,                0.45216,                 0.9845,                0.98601,                0.97394,                0.98514,                0.96576,                0.32528,                  0.363,                0.70134,             0.00075053,             0.00075053,             0.00075053
                      8,                0.37763,                0.44189,                0.98168,                0.98806,                0.97461,                0.98491,                 0.9691,                0.28226,                0.29206,                0.67992,             0.00073404,             0.00073404,             0.00073404
                      9,                0.36395,                0.43152,                 0.9761,                0.98891,                0.97759,                0.98853,                0.97181,                0.34613,                0.27671,                0.72254,             0.00071755,             0.00071755,             0.00071755
                     10,                0.35797,                0.40752,                0.97051,                0.97854,                0.98039,                 0.9858,                 0.9709,                0.29443,                0.28255,                0.68132,             0.00070105,             0.00070105,             0.00070105
                     11,                0.34286,                0.39653,                0.96499,                0.98385,                0.99127,                0.99112,                0.97603,                0.28502,                0.26358,                0.68765,             0.00068456,             0.00068456,             0.00068456
                     12,                0.33749,                0.38019,                 0.9641,                0.99006,                0.98548,                0.99034,                0.97493,                0.29939,                0.30225,                0.67797,             0.00066807,             0.00066807,             0.00066807
                     13,                0.32227,                0.36365,                0.95483,                 0.9847,                0.98853,                0.98915,                0.96938,                0.30368,                 0.3247,                0.68228,             0.00065157,             0.00065157,             0.00065157
                     14,                0.33272,                0.37048,                0.96662,                0.98215,                0.98187,                0.98806,                0.97317,                0.31102,                 0.2967,                0.68552,             0.00063508,             0.00063508,             0.00063508
                     15,                0.32509,                0.35065,                0.95777,                0.98938,                0.98309,                0.99049,                0.97411,                0.28038,                0.25848,                0.67601,             0.00061859,             0.00061859,             0.00061859
                     16,                0.31436,                0.33833,                0.95415,                0.98912,                 0.9835,                0.98949,                0.97184,                0.29594,                0.25015,                0.69043,             0.00060209,             0.00060209,             0.00060209
                     17,                0.30681,                0.34114,                0.95378,                0.99129,                0.98599,                0.99235,                0.97919,                0.26559,                0.23623,                0.65213,              0.0005856,              0.0005856,              0.0005856
                     18,                0.29932,                0.31575,                0.94486,                 0.9893,                0.98945,                0.99104,                0.98072,                0.23882,                0.21753,                0.63486,             0.00056911,             0.00056911,             0.00056911
                     19,                0.30032,                0.31797,                0.94938,                0.99005,                 0.9902,                0.99113,                0.98108,                0.28351,                0.23176,                0.65921,             0.00055261,             0.00055261,             0.00055261
                     20,                0.29454,                0.31702,                0.94402,                0.98217,                0.98757,                0.99056,                0.97565,                0.26459,                0.25644,                0.64724,             0.00053612,             0.00053612,             0.00053612
                     21,                0.28532,                0.30104,                0.93816,                0.98048,                0.98986,                0.98959,                0.98007,                0.24683,                0.23206,                 0.6411,             0.00051963,             0.00051963,             0.00051963
                     22,                0.27681,                0.30431,                0.93815,                0.98823,                0.98853,                0.99064,                0.98187,                0.23666,                0.21585,                0.63259,             0.00050313,             0.00050313,             0.00050313
                     23,                0.28107,                0.29045,                0.94052,                0.98947,                 0.9858,                0.99056,                0.97819,                0.26355,                0.22542,                 0.6385,             0.00048664,             0.00048664,             0.00048664
                     24,                0.27718,                0.29397,                0.93788,                0.98319,                0.98834,                0.99021,                0.98007,                0.23296,                0.22355,                0.63706,             0.00047015,             0.00047015,             0.00047015
                     25,                0.27728,                0.29704,                 0.9365,                0.98101,                0.99037,                0.99053,                0.97693,                0.26161,                0.25655,                0.65168,             0.00045365,             0.00045365,             0.00045365
                     26,                0.26477,                0.28602,                0.93146,                0.98825,                0.99127,                0.99159,                 0.9799,                0.24584,                0.20544,                0.63577,             0.00043716,             0.00043716,             0.00043716
                     27,                0.26172,                0.27867,                0.93099,                0.99381,                0.98427,                0.99249,                0.98208,                0.22665,                0.19836,                0.61714,             0.00042066,             0.00042066,             0.00042066
                     28,                0.25861,                0.26934,                0.92851,                0.99071,                0.98306,                0.99154,                0.98017,                0.26607,                 0.2382,                0.65017,             0.00040417,             0.00040417,             0.00040417
                     29,                0.25724,                0.27595,                0.92996,                0.99384,                 0.9938,                0.99282,                0.98329,                0.22742,                0.21657,                0.62597,             0.00038768,             0.00038768,             0.00038768
